Question,Answer,Words in Question,Tokens in Question,Words in Answer,Tokens in Answer,Time to Generate,AVG COL-G
Where does the men's basketball team play all of their home games?,"I'm sorry, I cannot provide an answer as I do not have enough information. Can you please provide more context or details?",12,15,22,27,1.284690142,
Who was traded in exchange for Garrett Temple?,"I'm sorry, I cannot provide an answer to that question as it is not specific enough. Can you please provide more context or information?",8,9,24,29,1.373904228,
"Who was arrested on August 6, 2013?","I'm sorry, I cannot provide an answer to that question as it is not specific enough. Can you please provide more context or details?",7,12,24,29,1.375572681,
Who wins tie from team not leading a division Head-to-head record Division record (if all teams are in the same division)?,"In a tie, the team that won the most games in head-to-head play would win the tie.",21,28,17,23,1.102473021,
What was the mark for the most points scored by a team in the tournament in North Carolina?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",18,19,17,22,1.05247283,
How many points did Becky Hammon have?,"Becky Hammon scored 1,000 points in her professional basketball career.",7,9,10,16,0.786363602,
Where is Sidney Moncrief's hometown?,"Sidney Moncrief's hometown is in the city of East St. Louis, Illinois.",5,10,12,20,0.959279537,
What is the name of the team player?,"I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",8,9,16,21,1.00272131,
Who is the unrestricted free agent in the Denver Nuggets?,"As of now, there is no unrestricted free agent in the Denver Nuggets.",10,12,13,16,0.784081936,
Where is the Georgia Dome?,"The Georgia Dome is located in Atlanta, Georgia.",5,6,8,10,0.531425953,
What offense limited Payton's ball-handling and post-up opportunities?,"The 2019-20 season was Payton's first in the NBA, and he was limited by a knee injury. However, in the 2020-21 season, Payton's ball-handling and post-up opportunities were limited due to the team's lack of depth at the position.",8,16,39,64,2.882095337,
"What team did the Jazz beat on January 14, 1986?","I'm sorry, I cannot provide an accurate answer as the prompt is missing the date. Please provide the correct date for the prompt.",10,15,23,28,1.330156565,
How many points did DeMar DeRozan score in Game 5 against Milwaukee?,DeMar DeRozan scored 27 points in Game 5 against Milwaukee.,12,17,10,16,0.79807663,
"When was ESPN W 77-65 22-1 February 17, 20087:30 @ Wake Forest #2 Lawrence Joel Veterans Memorial Coliseum?","The ESPN W 77-65 22-1 February 17, 2008 was played on February 17, 2008.",18,36,14,29,1.35358119,
What longtime broadcaster gave some of it's broadcasting to Turner?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",10,13,17,22,1.055804253,
Who was the Celtics' Kelly Olynyk?,Kelly Olynyk is a professional basketball player who currently plays for the Boston Celtics. He was drafted by the Celtics in 2015 and has since played for the team.,6,11,29,36,1.677386045,
What was the last time that the Super Sonics would make the playoffs? Who was the head coach of the 2005 Super Sonics in the off-season?,"The last time the Super Sonics made the playoffs was in 2004, when they lost to the San Antonio Spurs in the first round. The head coach of the 2005 Super Sonics in the off-season was Rick Carlisle.",26,34,38,49,2.222015142,
When did the Bobcats make a magical run to reach the Big Dance?,"The Bobcats made their first appearance in the NBA in 1988, but did not make a magical run to reach the Big Dance until 2010.",13,15,25,32,1.475847483,
How many free throws did Kanyon West make at an 82% clip?,Kanyon West made 7 free throws at an 82% clip.,12,16,10,15,0.745828629,
What team did the Pacers lose to?,"I'm sorry, I cannot answer that question as it requires current knowledge and I am an AI language model that does not have access to real-time information.",7,9,27,33,1.516429901,
What team record did Harris help the Mavs to a team record of?,Harris helped the Mavs to a team record of 67 wins in the 2011-12 season.,13,15,15,22,1.045169592,
When did Jaworski and Fernandez have a feud?,"I'm sorry, I cannot provide an accurate answer as there is no specific information available on the exact time frame of Jaworski and Fernandez's feud.",8,11,25,33,1.540177107,
Who were traded to Miami for Shawn Marion and Marcus?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",10,11,17,22,1.049998045,
In what league did he win his fifth MVP award?,Michael Jordan won his fifth MVP award in the NBA.,10,11,10,11,0.585652351,
What was the name of the college that became Trinity college?,"The college that became Trinity college was originally called Trinity College, Dublin.",11,12,12,14,0.711428404,
When was Diaw named the NBA's Most Improved Player?,Diaw was named the NBA's Most Improved Player in 2016.,9,13,10,17,0.82721734,
What was the name of the businessman who bought the team?,"I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",11,12,16,21,1.021652222,
What was Keith Van Horn's all-time record?,"Keith Van Horn's all-time record is 1,000 points in a single season.",7,12,12,20,0.966615438,
Where did the Sabre's play their home games in 1970?,"The Sabre's played their home games in Buffalo, New York.",10,16,10,15,0.744466543,
What is the name of the SMU facility that is located in Las Vegas?,The name of the SMU facility located in Las Vegas is the SMU Las Vegas Center.,14,16,16,19,0.938150406,
Which team won the first and third games?,"I'm sorry, I cannot provide an accurate answer as there is no context provided. Can you please provide more information?",8,9,20,25,1.173672199,
Which Portland Trail Blazers feature in the first round?,The Portland Trail Blazers have not yet been featured in the first round of the 2021 NBA Playoffs.,9,11,18,23,1.095987797,
Who played for the Milwaukee Bucks?,"The Milwaukee Bucks have had many players throughout their history, including Kareem Abdul-Jabbar, Oscar Robertson, and Giannis Antetokounmpo.",6,7,18,34,1.577460289,
How many points did Carlos Sayon score in the win?,"I'm sorry, I cannot provide an accurate answer as I do not have access to real-time sports data.",10,12,18,24,1.135447502,
When did he pass away?,"I'm sorry, I cannot provide an accurate answer without additional information. Can you please provide more context or details?",5,6,19,24,1.13538456,
"When did Czyz transfer to the University of Nevada, Reno?","I'm sorry, I do not have access to that information.",10,13,10,14,0.708996296,
What was he named after his sophomore year?,"I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",8,9,16,21,1.005259991,
What was the highest 20 in 2016?,"I'm sorry, I cannot provide an accurate answer as the question is too specific and requires a more specific context.",7,11,20,24,1.139202833,
Who is coached by Dan Monson?,"Dan Monson is a former professional basketball coach who has coached several teams in the NBA, including the Minnesota Timberwolves and the Denver Nuggets.",6,8,24,29,1.386505127,
What competition is similar to the Top 16 phase of the Turkish Airlines Euroleague?,"The Turkish Airlines Euroleague has a similar format to the NBA's regular season, with each team playing 82 games. The Top 16 phase is similar to the NBA's first round of the playoffs, where the top 16 teams in the regular season compete to advance to the next round.",14,17,49,61,2.757645845,
How many games were decided in the last minute?,"I'm sorry, I do not have that information. However, I can look it up for you if you would like.",9,10,20,26,1.222066879,
Who is the NBA Second Team of the New Jersey Nets?,The New Jersey Nets have not yet been established as a team in the NBA.,11,12,15,16,0.788254261,
Who did Swoopes say can't help who I fall in love with?,"I'm sorry, I cannot provide an accurate response as Swoopes is a basketball player and not a celebrity. Can you please provide more context or information?",12,17,26,33,1.523849964,
When did Nebraska defeat Oregon 88-79?,"Nebraska defeated Oregon 88-79 on December 22, 2019.",6,10,8,17,0.847726583,
When did the Houston Rockets meet the Houston Blazers?,The Houston Rockets and Houston Blazers have not met each other in the NBA playoffs.,9,11,15,17,0.823291302,
What time was Game 6 shown in all but four US cities?,Game 6 was shown at 8:00 PM EST in all but four US cities.,12,14,14,19,0.935700655,
Who draft Brown in 2001?,"I'm sorry, I cannot provide an accurate answer as there is no specific information available on who drafted Brown in 2001.",5,8,21,27,1.272710323,
What game was Kansas vs. North Carolina on April 5?,"Kansas vs. North Carolina was on April 5, 2019.",10,13,9,15,0.750799894,
What color is the Chicago Bulls jersey?,The Chicago Bulls jersey is primarily white with red and black accents.,7,8,12,13,0.666341782,
Who was voted to the All-SEC Freshman team?,"I'm sorry, I cannot provide an answer as I am an AI language model and do not have access to real-time data.",8,12,22,28,1.31165576,
What team did the New York Knicks acquire from Milwaukee?,"The New York Knicks acquired the Milwaukee Bucks from the Milwaukee Bucks on February 24, 2011.",10,11,16,21,1.014750719,
Who sanctioned Michigan Wolverines men's basketball by forfeiting many of its records and accomplishments from 1992 to 1998?,The NCAA sanctioned Michigan Wolverines men's basketball by forfeiting many of its records and accomplishments from 1992 to 1998.,18,27,19,28,1.314339399,
In what season did the Liberty release Moore?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",8,9,17,22,1.055753708,
Who did the Lakers face in the playoffs?,The Lakers faced the Portland Trail Blazers in the first round of the playoffs.,8,9,14,16,0.781351089,
When did the New Jersey Nets appoint Kiki Vandeweghe as their interim head coach?,"The New Jersey Nets appointed Kiki Vandeweghe as their interim head coach on January 7, 2019.",14,19,16,25,1.186574221,
How many years did Michael Jordan play for the Chicago Bulls?,Michael Jordan played for the Chicago Bulls for 13 seasons.,11,12,10,12,0.616981506,
What was Larry Bird's senior year?,Larry Bird's senior year was 1979-1980.,6,9,6,14,0.703239918,
What former Peacocks player donated the right to name the arena?,"I'm sorry, I do not have that information.",11,14,8,12,0.612954378,
How many games did the Pistons win to advance to the Finals?,The Detroit Pistons won 4 games to advance to the Finals.,12,14,11,14,0.709280252,
How much did the Cleveland Cavaliers shoot for?,"I'm sorry, I cannot provide an accurate answer as the question is not specific enough. Can you please provide more context or information?",8,9,23,28,1.309784889,
When did The Dream receive Dallas' third-round pick in the 2020 WNBA draft?,"The Dream received Dallas' third-round pick in the 2020 WNBA draft on July 24, 2020.",13,20,15,26,1.236338139,
What did he deny the merchandise existed for?,"I'm sorry, I cannot provide an accurate response without additional context. Can you please provide more information?",8,9,17,22,1.05351305,
How did the Hoyas finish in the Big East in Ewing's third season?,The Hoyas finished in second place in the Big East in Ewing's third season.,13,18,14,19,0.919528008,
Where is the Northern Iowa UNI-Dome located?,"The Northern Iowa UNI-Dome is located in Cedar Falls, Iowa.",7,12,10,16,0.782049179,
When did Rudy Hatfield return to the country?,Rudy Hatfield returned to the country in 1970.,8,10,8,13,0.669024944,
How many points did Twyman average per game for a full season?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",12,14,17,22,1.038682461,
"Along with the Ringling Brothers and Barnum and Bailey Circus, what is another minor league event held at the Arena annually?","The Ringling Brothers and Barnum and Bailey Circus is the main event held annually at the Arena. However, there may be other minor league events held there as well.",21,25,29,34,1.572417736,
When did Thomas sign with the Washington Wizards?,"Thomas signed with the Washington Wizards on July 1, 2019.",8,9,10,15,0.740327358,
What did the trustees affirm?,"I'm sorry, I cannot provide a specific answer without additional context. Can you please provide more information?",5,6,17,22,1.050962448,
What was the name of the original Caterpillar dealership that Bill Holt started in 1933?,The name of the original Caterpillar dealership that Bill Holt started in 1933 was Holt Tractor Company.,15,19,17,21,1.024154186,
Who is the third Duke W 76-52W 74-54W 71-70L 78-79OT?,"I'm sorry, I cannot provide an answer as there is no context provided.",10,27,13,17,0.847997427,
Who was the new owner of the Cleveland Cavaliers?,The new owner of the Cleveland Cavaliers is Dan Gilbert.,9,10,10,11,0.595973969,
Who is a basketball coach in Valencia?,"I'm sorry, I cannot provide a specific answer to that question as there are many basketball coaches in Valencia. Can you please provide more context or information so that I can assist you better?",7,8,34,39,1.804121494,
How much did the construction cost?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",6,7,17,22,1.050022364,
How many straight games did the Wizards lose?,"I'm sorry, I cannot provide an accurate answer as the Wizards have not been in existence since 2008.",8,9,18,24,1.140267372,
1 1 - - WCC 3 1-3 0.250 1 0- - Sun Belt 2 2-2 0.500 1 -1 - Mountain West 2 1-2 0.333 1 1-2 - C-USA 1 5-1 0.833 1 1-1 1 1 Southern 1 3-1 0.500,1 1-1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,39,99,205,411,18.00761437,
How many NCAA national tournament titles did the U.S. win in 1982 and 1993?,The U.S. won 2 NCAA national tournament titles in 1982 and 1993.,14,22,12,21,1.012537479,
What is the name of the organization that gives middle school children a positive influence on their lives?,The name of the organization that gives middle school children a positive influence on their lives is 'Positive Visions'.,18,19,19,23,1.115064383,
Who was the USA Today Player of the Year?,"I'm sorry, I cannot provide an answer as the USA Today Player of the Year award has not been awarded since 2008.",9,10,22,28,1.341121435,
What is the name of the first and second round of the NBA draft?,The first and second rounds of the NBA draft are called the 'Lottery' rounds.,14,15,14,19,0.930845261,
RPG Rebounds per game APG Assist per game SPG Steals per game,FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game 3pt FG% per game,12,17,283,494,21.74181938,
What is Jessalyn Deveny from Boston College?,"I'm sorry, I cannot provide a response as there is no information available on who Jessalyn Deveny is or what she is known for.",7,12,24,32,1.493347168,
What is the name of the stadium where Florida State is playing?,"I'm sorry, I cannot answer that question as I do not have access to real-time sports information.",12,13,17,23,1.111386538,
When did Evan Turner graduate from Ohio State?,Evan Turner graduated from Ohio State University in 2006.,8,9,9,13,0.668832302,
What was Olumide Oyedeji's dunk percentage in 2004?,"I'm sorry, I cannot find information on Olumide Oyedeji's dunk percentage in 2004.",8,18,13,26,1.236957073,
What state is Georgia Tech in?,Georgia Tech is located in the state of Georgia.,6,7,9,10,0.546372652,
How many time All-NBA Selections have been made?,There have been 24 All-NBA Selections made since the 1990-91 season.,8,12,11,20,0.980784416,
What team lost to Indiana in the final?,"I'm sorry, I cannot provide an accurate answer as there is no specific context provided. Can you please provide more information?",8,9,21,26,1.24055624,
What was Bogans' average per game?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",6,9,17,22,1.042865753,
Who led the Leopards to back-to-back Patriot League championships and NCAA Tournament appearances in 1999 and 2000?,"The Leopards' head coach at the time was Tom Davis, who led the team to a 23-7 record in 1999 and a 21-8 record in 2000.",17,28,26,41,1.894853592,
What did Sarver use the n-word multiple times?,"I'm sorry, I cannot provide a response to that question as it is inappropriate and offensive.",8,12,16,20,0.962819576,
Who was selected in the second round of the common era draft?,"I'm sorry, I cannot provide an accurate answer as the common era draft was not introduced until 1965. Before that, the NFL conducted a regular draft that began in 1936.",12,13,30,40,1.838853121,
Who was the WNBA player for the Houston Comets in 1967?,The WNBA player for the Houston Comets in 1967 was Ruthie Bolton.,11,16,12,18,0.884040594,
How many NBA players combined to average at least 21 points?,There are currently 13 NBA players who have averaged at least 21 points per game in their career.,11,13,18,21,1.003699303,
What team did the 76ers beat in the series?,"I'm sorry, I cannot answer that question as it is not specific enough. Can you please provide more context or information?",9,12,21,26,1.236962557,
Where does Horry live?,"I'm sorry, I cannot provide an answer as Horry is a name and not a location. Can you please provide more context or information?",4,6,24,30,1.411260605,
What was West's career-best point average in 1965?,"I'm sorry, I cannot provide an accurate answer as there is no context provided. Can you please provide more information?",8,15,20,25,1.178649902,
How did the Knicks feel after Reed limped to the bench?,"I'm sorry, I cannot provide a specific answer as I am an AI language model and do not have access to real-time news or events.",11,13,25,31,1.453783989,
Who was the 1997-1998 ABL Defensive Player of the Year?,The 1997-1998 ABL Defensive Player of the Year was Mark Grudzielanek.,10,18,11,23,1.110969782,
How many awards and honors were won in 2009?,"I'm sorry, I cannot provide a specific answer as the number of awards and honors won in 2009 may vary depending on the specific field or industry.",9,12,27,33,1.546548605,
What was Minnesota's official record from 1993-94 to 1998-99?,"Minnesota's official record from 1993-94 to 1998-99 was 1,000-1,000.",9,20,9,27,1.280180454,
How many floors above the performance gym does the Beck Center sit?,"I'm sorry, I cannot provide an accurate answer as the Beck Center is a specific building and not a gym. Can you please provide more context or information?",12,13,28,33,1.5340662,
What was Chipman's profession?,"I'm sorry, I cannot provide an answer as Chipman is not a known historical figure. Can you please provide more context or information about Chipman?",4,8,25,32,1.522729874,
1996 NCAA Men's Division I Basketball Tournament?,"The 1996 NCAA Men's Division I Basketball Tournament was held from March 9 to March 17, 1996. The tournament was held at the Georgia Dome in Atlanta, Georgia. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996 tournament was the last time the NCAA held a basketball tournament in a dome. The 1996",7,11,414,500,21.82483935,
Which team advanced to the semifinals?,"I'm sorry, I cannot answer that question as it is specific to a particular sports event and I do not have access to real-time information.",6,8,25,31,1.431870222,
How many in the NIT were there?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",7,9,17,22,1.062336206,
What state is the Iowa State L 62-71 6-7 0-2 1/11/2006 @ Baylor?,Iowa State,13,30,2,3,0.223849535,
"What team traded Rondo for Jae Crowder, Jameer Nelson, Brandan Wright and Dwight Powell?",The team that traded Rondo for those four players is the Phoenix Suns.,14,22,13,15,0.744159937,
What team was the first to have the second pick?,"The first team to have the second pick in the NFL Draft was the New York Giants, who selected Eli Manning in 2004.",10,11,23,27,1.282418489,
How many people played in the arena?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",7,8,17,22,1.042568207,
Who is Stan Miasek?,"Stan Miasek is a former American football player who played as a defensive lineman in the National Football League. He played for the New York Giants, the San Francisco 49ers, and the New England Patriots. He was inducted into the Pro Football Hall of Fame in 1995.",4,7,47,59,2.663526058,
What was the score of he's career-high 29 points for Kentucky?,"I'm sorry, I cannot provide an accurate answer as there is no context provided. Can you please provide more information?",11,17,20,25,1.195648193,
What was the highest percentage of free throws during the 2005-2006 season?,The highest percentage of free throws during the 2005-2006 season was 82.7%.,12,18,12,21,1.034119129,
Who won the 2016 PBA Governors' Cup?,The 2016 PBA Governors' Cup was won by the San Miguel Beermen.,7,12,12,19,0.928682089,
How many games did the Phoenix Suns win?,The Phoenix Suns won 48 games in the 2019-2020 season.,8,9,10,17,0.836833,
Who is the publisher?,"I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",4,5,16,21,1.011482716,
Willie Veasley hit a 3-point shot that bounced high off the rim before hitting what?,"I'm sorry, I cannot provide an accurate answer as there is no context provided.",15,21,14,18,0.882758856,
How much field goal percentage did Barkley have in his career?,Barkley had a field goal percentage of.538 in his career.,11,13,10,15,0.790137768,
Who coached for one season at K-State in 2006?,"I'm sorry, I cannot provide an accurate answer without additional context.",9,14,11,15,0.763176918,
How many years was Jones a letterman at American High School?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",11,13,17,22,1.082951069,
What is his younger brother's name?,"I'm sorry, I cannot answer that question as there is no context provided.",6,9,13,17,0.832432508,
Where is American Airlines Center located?,"American Airlines Center is located in Dallas, Texas.",6,7,8,10,0.52939558,
When did the rivalry between the San Antonio Spurs and the Phoenix Suns begin?,"The rivalry between the San Antonio Spurs and the Phoenix Suns began in 1998, when the Spurs defeated the Suns in the Western Conference Finals.",14,15,25,29,1.357895374,
Who was named after Hall?,"I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",5,6,16,21,1.010036469,
What was Carter's father's name?,Carter's father's name was Carter Sr.,5,10,6,12,0.608732939,
On what date did the Trail Blazers clinch the 8th seed?,"The Trail Blazers clinched the 8th seed on April 13, 2019.",11,16,11,20,0.962499142,
What year was Juan Espil Argentina G.E.P.U. 58 1672 28.8 1993-94 Andrew Moten USA Gimnasia y Esgrima (CR) 30 896 29.9 1994-95?,,22,58,0,0,0.057754755,
Where do the Seminoles play all of their home games?,"The Seminoles play all of their home games at Doak Campbell Stadium in Tallahassee, Florida.",10,13,15,22,1.050118685,
When did the Owls move to Division I?,The Owls moved to Division I in 1996.,8,10,8,12,0.618070841,
When was the Champions Season Champions 2010-11 CSKA Moscow?,"The Champions Season Champions 2010-11 CSKA Moscow was on May 22, 2011.",9,15,12,22,1.051446199,
What was the name of the roller hockey team that played at the Coliseum from 1993 to 1995?,The roller hockey team that played at the Coliseum from 1993 to 1995 was the San Diego Sockers.,18,25,18,27,1.257043839,
What franchise record is equal to the production of Markeith Cummings in 2013?,"I'm sorry, I cannot provide an accurate answer as there is no record of a specific franchise record in 2013.",13,19,20,26,1.235415697,
Where did Barnes come from?,"I'm sorry, I cannot provide an answer as there is no context or information provided about who Barnes is.",5,6,19,23,1.086515427,
How many people attended Wake Forest in 2009-10?,"I'm sorry, I cannot provide an accurate answer as I do not have access to real-time data.",8,13,17,23,1.098881245,
In what conference did the Bulls win their second straight championship?,The Bulls won their second straight championship in 1998.,11,12,9,12,0.616350412,
"Where did Grand Rapids, Kansas City, Louisville, and Saint Paul all disband?","Grand Rapids disbanded in 1906, Kansas City disbanded in 1919, and Saint Paul disbanded in 1920.",12,17,16,31,1.479631424,
What did Littlefield say the City could do to stop Lewis's plan?,"I'm sorry, I cannot provide an accurate response as there is no context provided. Can you please provide more information?",12,16,20,25,1.174531937,
"What is the name of the University Arena located in Muncie, IN?","The name of the University Arena located in Muncie, IN is Ball Arena.",12,16,13,17,0.837234497,
How many three-point field goals are there in a game?,There are usually 3 three-point field goals in a basketball game.,10,13,11,15,0.742125273,
What was Chicago's league-best record?,Chicago's league-best record was 72-10 in the 1948-49 season.,5,10,9,21,1.003635406,
What university did Cuba not attend for his senior year?,"I'm sorry, I cannot provide an accurate answer as there is no context provided. Can you please provide more information?",10,11,20,25,1.178753853,
How many points did the Nets score in one season in 2006-07?,The Nets scored 82 points in one season in 2006-07.,12,17,10,16,0.789226294,
How many games did the team lose at Haas Pavilion?,"I'm sorry, I do not have access to real-time sports data. Can I assist you with anything else?",10,11,18,25,1.186126232,
How many points did Monroe average in his three games with the Knicks in 1971-1972?,Monroe averaged 18.3 points per game in his three games with the Knicks in 1971-1972.,15,21,15,25,1.184341669,
What team was the Hungarian League champion in 2014?,The Hungarian League champion in 2014 was Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc Puskás Ferenc P,9,12,171,499,21.81476712,
What is the name of the University Men's Volleyball team that competes in indoor and outdoor sports?,"I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",17,21,16,21,1.007104874,
What was the name of the first game of the second round?,"I'm sorry, I cannot provide an answer without additional context. Can you please provide more information?",12,13,16,21,1.003914118,
How many games did the Pistons lose in the first two rounds of the NBA Finals?,The Detroit Pistons lost 4 games in the first two rounds of the NBA Finals.,16,18,15,18,0.881733656,
What year did T.L. Plain lose?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",6,10,17,22,1.043362141,
What was HIV considered to be?,HIV was initially considered to be a rare and mysterious virus that caused AIDS.,6,7,14,16,0.792411804,
What caused the Pistons to rent the Joe Louis Arena for the rest of the season?,"The Pistons were forced to rent the Joe Louis Arena for the rest of the season due to the COVID-19 pandemic. The arena was closed to fans for the 2020-21 season, and the team was unable to find a suitable alternative venue for their games.",16,18,45,55,2.482121229,
Where are the member institutions of The Valley?,"The member institutions of The Valley are located in the United States, Canada, and the United Kingdom.",8,9,17,20,0.953408241,
In what year did he coach the Wildcats to their fifth NCAA Men's Division I Basketball Championship?,The Wildcats won their fifth NCAA Men's Division I Basketball Championship in 1988.,17,20,13,18,0.89807272,
What was Keith Dambrot 2004-05 19-10 (11-7) 1-1?,Keith Dambrot 2004-05 19-10 (11-7) 1-1 was a professional basketball player in the NBA. He played for the New York Knicks and the Philadelphia 76ers.,8,26,25,46,2.11410594,
What team failed to make the playoffs yet again?,"I'm sorry, I cannot provide an answer as the prompt is too broad and there are many teams that could potentially fail to make the playoffs. Can you please provide more context or specify which year you are referring to?",9,10,40,45,2.061853409,
How did the Gators start their 2005-06 season?,"The Gators started their 2005-06 season with a 4-0 record, including a 2-0 record in the SEC.",8,14,17,30,1.392840862,
Which team had the fourth best East record?,"I'm sorry, I cannot provide an accurate answer without additional context. Can you please provide more information?",8,9,17,22,1.056601048,
What is the Serbian Cyrillic name of Boban Marjanovi?,"I'm sorry, I cannot provide an accurate answer as Boban Marjanovi is not a Serbian name. It is a name from the Albanian language.",9,15,24,33,1.537127495,
In what year did Shumpert win season 30 of Dancing with the Stars?,Shumpert won season 30 of Dancing with the Stars in 2015.,13,17,11,17,0.826317072,
